Symbol	Description
AUGG.OB	Augusta Gold Corp
AUHEF.OB	Anhui Expressway CO Ltd
AUHIF.OB	Advanced Gold Exploration
AUHYF.OB	Anadolu Hayat Sigort As
AUIAF.OB	Aurania Resources Ltd
AUKNY.OB	Auckland International Airport ADR
AUKUF.OB	Ams-Osram Ag
AUMBF.OB	1911 Gold Corp
AUMC.OB	Auryn Mining Corp
AUNXF.OB	Axp Energy Ltd
AUOTY.OB	Auo Corp ADR
AURI.OB	Auri Inc
AURQF.OB	Aurelius Minerals Inc
AURX.OB	Nuo Therapeutics Inc
AUSDF.OB	Perenti Global Ltd
AUSI.OB	Aura Systems Inc
AUSTF.OB	Austin Engineering Ltd
AUSVF.OB	Gold79 Mines Ltd
AUTLF.OB	Austal Ltd
AUUMF.OB	Aumann Ag
AUXIF.OB	Auxico Resources Canada Inc
AUXXF.OB	Allegiant Gold Ltd
AVACF.OB	Avance Gas
AVAI.OB	Avant Technologies Inc
AVBH.OB	Avidbank Holdings Inc
AVCNF.OB	Avicanna Inc
AVCRF.OB	Avricore Health Inc
AVCTF.OB	Avacta Group Plc
AVGDF.OB	Avidian Gold Corp
AVIFY.OB	Advanced Info Svc Pu ADR
AVLNF.OB	Avalon Advanced Materials Inc
AVNBF.OB	Avon Rubber Plc
AVNI.OB	Arvana Inc
AVNY.OB	Manaris [2010] Corp
AVOA.OB	Avoca Inc
AVOI.OB	Advanced Voice Recognition Systems Inc
AVOZ.OB	Altavoz Entertainment Inc
AVRI.OB	Averox Inc
AVRW.OB	Avenir Wellness Solutions Inc
AVSFY.OB	Avi Ltd
AVTBF.OB	Avant Brands Inc
